date,nav,cash,n_pos
2024-03-07,112119.08806021142,84823.38892157006,6
2024-03-08,111899.51665656971,83173.29315345692,5
2024-03-11,112103.48527822437,88843.51575002613,4
2024-03-12,112213.41809928969,67939.64524734572,7
2024-03-13,112179.34101395999,79604.95287042056,5
2024-03-14,111824.28481863851,73710.31613730306,7
2024-03-15,111772.51604156946,47441.32245808099,10
2024-03-18,112450.10342930292,50714.52504967187,9
2024-03-19,113073.25193059068,74326.11632763963,5
2024-03-20,113112.71370911808,75007.11204648227,5
2024-03-21,113312.25117421309,82731.49003529707,4
2024-03-22,112902.13213265449,89985.75255501777,4
2024-03-25,112556.02545632391,82110.01672829657,5
2024-03-26,112675.8574454229,71785.0803687017,8
2024-03-27,113347.91948551257,87950.65968936999,5
2024-03-28,113454.3343203751,98065.8696215836,3
2024-03-29,113454.3343203751,98065.8696215836,3
2024-04-01,113430.25070343174,105932.93387756504,2
2024-04-02,113254.34266244521,84767.15088998427,5
2024-04-03,113135.39125786428,71283.23576698903,7
2024-04-04,113136.70636520673,48346.10521087934,10
2024-04-05,113049.25512848188,48346.10521087934,10
2024-04-08,113286.45227585126,48346.10521087934,10
2024-04-09,113503.65826778022,82567.65442256538,4
2024-04-10,113087.39278768531,84578.3335225486,4
2024-04-11,111789.0309342549,83537.07587520339,4
2024-04-12,112837.3986287597,49647.63954215082,10
2024-04-15,111938.43153549121,50412.515386351806,10
2024-04-16,112194.59356477193,46970.903928541455,10
2024-04-17,111721.71470342124,47131.73049245322,10
2024-04-18,111492.69173408663,47837.71686531223,10
2024-04-19,111143.15232493888,47329.76281383048,10
2024-04-22,111791.26389699832,51792.7384033765,10
2024-04-23,112758.44047344703,51231.88369549293,10
2024-04-24,113207.33201281911,68717.38806598073,7
2024-04-25,113181.17986075373,45080.87406699153,10
2024-04-26,113664.05617992315,41003.137467307184,10
2024-04-29,113754.87129871282,41003.137467307184,10
2024-04-30,113122.39094368636,44232.26079909026,10
2024-05-01,113668.49997423751,38780.727035509175,10
2024-05-02,113331.12008977134,35186.391082050395,10
2024-05-03,113736.590341895,41542.88693460741,10
2024-05-06,114709.58315466302,41901.8087711181,10
2024-05-07,114661.54122732538,41901.8087711181,10
2024-05-08,114227.8757933973,55021.609863221514,9
2024-05-09,114223.93460731466,89947.77762489278,4
2024-05-10,114153.89620149191,82992.58167207296,5
2024-05-13,114832.00378836163,89088.95607412823,4
2024-05-14,114955.79730138172,94346.13682469715,3
2024-05-15,115349.46956090412,98721.46951512776,2
2024-05-16,115365.50338149129,115365.50338149129,0
2024-05-17,115356.79086715089,107476.75064879762,1
2024-05-20,115208.92021209108,107476.75064879762,1
2024-05-21,115045.86319662954,93212.26868369008,3
2024-05-22,115212.48298189479,75504.49183962184,6
2024-05-23,115003.34789318952,70430.18464798841,7
2024-05-24,115172.68823049097,69896.46359632043,8
2024-05-27,115172.68823049097,69896.46359632043,8
2024-05-28,114764.49527054874,86693.124375163,5
2024-05-29,114534.59732926809,75524.24242986165,8
2024-05-30,114057.24628808507,52480.13736035831,10
2024-05-31,115602.42381780664,49649.388158016605,10
2024-06-03,115684.4625445419,51058.254922967484,10
2024-06-04,115832.24165354305,51058.254922967484,10
2024-06-05,116197.21327788505,69826.97569472465,7
2024-06-06,116349.524315257,92162.93822135442,5
2024-06-07,115960.66181159901,92972.59125114369,5
2024-06-10,116044.58981872599,86681.21110321085,6
2024-06-11,115308.15760408802,62910.008427490415,10
2024-06-12,115949.59678687005,62696.92381991296,10
2024-06-13,114780.14278698823,60361.46541214845,10
2024-06-14,113916.65154023614,63837.99811859574,10
2024-06-17,113814.06787713671,68644.359905087,9
2024-06-18,113631.32631654663,72210.13077182694,9
2024-06-19,113549.2751883976,72210.13077182694,9
2024-06-20,113879.30521402758,80444.08823333186,7
2024-06-21,114005.19082744182,94978.59401805462,4
2024-06-24,113957.46237987187,87430.00113719609,4
2024-06-25,113851.74454185154,91465.31256553318,3
2024-06-26,114255.7988002315,89439.46557879595,4
2024-06-27,114670.34346870694,81281.34792808804,5
2024-06-28,114473.31748538639,66338.80882316257,7
2024-07-01,113986.01287996687,59730.31027758041,10
2024-07-02,113862.27851450362,59730.31027758041,10
2024-07-03,114238.92497254472,71306.14608002763,8
2024-07-04,114228.22950167401,76992.64356417401,7
2024-07-05,114114.05903795194,85515.35838296842,6
2024-07-08,113943.01709470725,103746.04693517661,2
2024-07-09,113823.8586454142,95084.80984208474,4
2024-07-10,113889.34471609656,98802.61172773901,3
2024-07-11,114058.05515196387,98802.61172773901,3
2024-07-12,114142.00352301949,109470.18314948434,1
2024-07-15,113990.80970139813,104528.08905930829,2
2024-07-16,114417.50678569774,105134.11674053172,1
2024-07-17,113133.75578076544,42859.29119641485,10
2024-07-18,112202.40865398612,43452.82286907401,10
2024-07-19,112606.43032558133,38864.41122157742,10
2024-07-22,112916.62860832913,58211.37326775296,7
2024-07-23,113003.01771369926,44915.980734023964,10
2024-07-24,112606.34208304028,61814.5581589375,9
2024-07-25,111082.75499818691,50947.277783373676,10
2024-07-26,112608.64840280707,46398.112662908396,10
2024-07-29,113387.69235183584,47137.98023368704,10
2024-07-30,113789.38559596095,64376.067991896,6
2024-07-31,114776.16965974595,68927.35363687303,6
2024-08-01,115428.03141107968,55886.248813537866,10
2024-08-02,113540.02642439713,50178.43755720963,10
2024-08-05,110562.36326876254,43138.162131219804,10
2024-08-06,111504.90703096957,43138.162131219804,10
2024-08-07,112457.51317531301,49196.27645045949,10
2024-08-08,113088.42417566413,55404.76669733161,9
2024-08-09,113519.66209352044,78190.97964274911,7
2024-08-12,113479.14958253251,84100.73006406175,6
2024-08-13,114020.06663548575,78864.6783350669,7
2024-08-14,114179.05011792482,88702.06409020723,5
2024-08-15,114485.85427764787,109041.88667205705,1
2024-08-16,114601.14172511631,114601.14172511631,0
2024-08-19,114601.14172511631,114601.14172511631,0
2024-08-20,114601.14172511631,114601.14172511631,0
2024-08-21,114513.76438818588,107312.55999479904,1
2024-08-22,114841.4227839531,107312.55999479904,1
